microcosm,gas,replicate,day,Temperature_H,Temperature_L,Oxygen_H,Oxygen_L,Density_bacteria,Density_dexiostoma,Density_colpidium,Density_prey,Density_spathidium,Density_cyst,Total_biomass
101,Open,1,63,16.455,16.529,18.5,18.121,189666.6667,0,23.06666667,23.06666667,2,28,0.001
101,Open,1,47,20.941,20.939,17.724,17.36,90666.66667,0,0,0,0,19,0
101,Open,1,27,22.936,22.935,17.464,17.154,205000,0,0,0,2,27,0
101,Open,1,59,17.741,17.623,18.243,17.514,153000,0,NA,0,NA,24,0
101,Open,1,39,23.235,23.279,17.346,17.43,96666.66667,0,46.13333333,46.13333333,1,16,0.004
101,Open,1,57,18.254,18.25,18.245,17.586,122333.3333,0,0,0,1,30,0
101,Open,1,15,19.706,19.693,17.631,15.807,855666.6667,46.13333333,0,46.13333333,3,34,0.001
101,Open,1,65,16.163,16.129,18.401,17.885,370666.6667,0,0,0,0,33,0
101,Open,1,35,23.746,23.784,17.317,17.409,334666.6667,0,NA,0,1,24,0.001
101,Open,1,21,21.215,21.2,17.526,16.564,9901333.333,0,0,0,1,78,0
101,Open,1,5,17.148,17.078,18.215,13.527,610333.3333,876.5333333,69.2,945.7333333,10,3,0.035
101,Open,1,17,20.208,20.176,17.508,15.624,747000,NA,0,0,NA,35,0.002
101,Open,1,7,17.868,17.819,18.09,14.727,33023000,69.2,23.06666667,92.26666667,20,1,0.01
101,Open,1,61,17.35,17.328,18.176,17.698,118666.6667,0,NA,0,1,25,0
101,Open,1,51,19.752,19.712,17.866,17.432,692000,0,NA,0,0,17,0
101,Open,1,9,18.487,18.457,17.681,14.323,428333.3333,184.5333333,23.06666667,207.6,24,2,0.019
101,Open,1,31,23.302,23.091,17.418,17.364,289333.3333,0,0,0,NA,32,0
101,Open,1,67,15.455,15.37,18.413,18.149,377666.6667,0,0,0,1,41,0
101,Open,1,25,22.551,22.532,17.531,16.105,241666.6667,0,0,0,1,48,0.001
101,Open,1,43,22.142,22.152,17.519,16.6,212333.3333,0,0,0,1,30,0
101,Open,1,19,20.654,20.648,17.675,16.547,1726666.667,23.06666667,0,23.06666667,1,41,0.003
101,Open,1,49,20.331,20.313,17.866,17.137,182333.3333,0,0,0,0,18,0
101,Open,1,13,19.162,19.072,17.466,15.559,521666.6667,NA,0,0,3,31,0
101,Open,1,55,19.587,18.737,17.852,17.878,306333.3333,0,23.06666667,23.06666667,NA,33,0.002
101,Open,1,29,23.418,23.405,17.443,17.043,220333.3333,0,0,0,NA,27,0
101,Open,1,1,16.487,16.412,18.751,11.706,371000,1660.8,738.1333333,2398.933333,6,NA,0.172
101,Open,1,23,21.892,21.87,17.612,15.931,289666.6667,0,0,0,1,44,0
101,Open,1,53,18.917,18.9,18.017,17.229,175666.6667,0,NA,0,NA,20,0
101,Open,1,45,21.578,21.595,17.628,17.498,433333.3333,0,0,0,1,21,0
101,Open,1,11,18.768,18.742,17.589,14.637,742666.6667,NA,0,0,19,10,0.008
101,Open,1,37,23.747,23.476,17.321,17.569,82666.66667,0,NA,0,NA,12,0
101,Open,1,41,22.864,22.861,17.453,17.513,75333.33333,0,0,0,NA,40,0
101,Open,1,3,17.846,16.936,17.977,13.166,853666.6667,161.4666667,69.2,230.6666667,8,NA,0.056
101,Open,1,33,NA,24.171,NA,17.381,NA,NA,NA,NA,NA,NA,NA
102,Open,2,17,20.064,20.039,17.748,16.341,547333.3333,0,0,0,1,25,0
102,Open,2,31,23.372,23.52,17.724,17.823,104000,0,0,0,NA,42,0
