"","design","SensorName","date.time","deltaDay","Value","Unit.1","Mode"
"1","Open","S_154",2016-09-20 11:12:45,0,18.58,"%O2","humid"
"2","Open","S_154",2016-09-20 11:14:15,0.00104166666666667,7.57,"%O2","humid"
"3","Open","S_154",2016-09-20 11:15:15,0.00173611111111111,1.389,"%O2","humid"
"4","Open","S_154",2016-09-20 11:15:39,0.00201388888888889,0.764,"%O2","humid"
"5","Open","S_154",2016-09-20 11:15:58,0.0022337962962963,0.544,"%O2","humid"
"6","Open","S_154",2016-09-20 11:16:19,0.00247685185185185,0.415,"%O2","humid"
"7","Open","S_154",2016-09-20 11:16:38,0.00269675925925926,0.377,"%O2","humid"
"8","Open","S_154",2016-09-21 15:33:27,1.18104166666667,3.619,"%O2","humid"
"9","Open","H_154",2016-09-20 20:56:21,0.405277777777778,2.975,"%O2","dry"
"10","Open","H_154",2016-09-22 13:52:12,2.11072916666667,5.219,"%O2","dry"
"11","Open","H_154",2016-09-24 18:30:45,4.30416666666667,8.459,"%O2","dry"
"12","Open","S_154",2016-09-20 13:45:31,0.106087962962963,1.084,"%O2","humid"
"13","Open","H_154",2016-09-20 13:47:58,0.107789351851852,2.476,"%O2","dry"
"14","Open","H_154",2016-09-20 19:04:57,0.327916666666667,2.856,"%O2","dry"
"15","Open","S_154",2016-09-22 13:49:59,2.10918981481481,4.968,"%O2","humid"
"16","Open","H_154",2016-09-23 10:14:48,2.95975694444444,6.624,"%O2","dry"
"17","Open","S_154",2016-09-24 18:27:54,4.3021875,8.016,"%O2","humid"
"18","Open","S_154",2016-09-20 16:05:44,0.203460648148148,1.247,"%O2","humid"
"19","Open","H_154",2016-09-20 16:08:34,0.205428240740741,2.662,"%O2","dry"
"20","Open","S_154",2016-09-23 10:11:36,2.95753472222222,6.134,"%O2","humid"
"21","Open","S_154",2016-09-21 13:55:19,1.11289351851852,3.526,"%O2","humid"
"22","Open","H_154",2016-09-21 15:32:20,1.1802662037037,4.046,"%O2","dry"
"23","Open","S_154",2016-09-20 19:02:39,0.326319444444444,1.765,"%O2","humid"
"24","Open","S_154",2016-09-20 20:54:24,0.403923611111111,1.974,"%O2","humid"
"25","Open","S_154",2016-09-20 11:53:40,0.0284143518518519,0.952,"%O2","humid"
"26","Open","H_154",2016-09-20 11:52:12,0.0273958333333333,2.226,"%O2","dry"
"27","Closed","H_155",2016-09-20 19:05:07,0.328032407407407,2.71,"%O2","dry"
"28","Closed","S_155",2016-09-20 11:18:21,0.00388888888888889,14.53,"%O2","humid"
"29","Closed","S_155",2016-09-20 11:18:55,0.00428240740740741,7.556,"%O2","humid"
"30","Closed","S_155",2016-09-20 11:18:36,0.0040625,10.157,"%O2","humid"
"31","Closed","H_155",2016-09-24 18:30:54,4.30427083333333,3.808,"%O2","dry"
"32","Closed","H_155",2016-09-23 10:14:58,2.95987268518519,3.445,"%O2","dry"
"33","Closed","H_155",2016-09-20 20:56:30,0.405381944444444,2.738,"%O2","dry"
"34","Closed","S_155",2016-09-20 11:21:31,0.00608796296296296,0.345,"%O2","humid"
"35","Closed","S_155",2016-09-21 13:55:29,1.11300925925926,3.095,"%O2","humid"
"36","Closed","H_155",2016-09-20 16:08:44,0.205543981481481,2.672,"%O2","dry"
"37","Closed","S_155",2016-09-20 11:19:30,0.0046875,3.089,"%O2","humid"
"38","Closed","S_155",2016-09-21 15:33:35,1.18113425925926,3.067,"%O2","humid"
"39","Closed","S_155",2016-09-20 11:20:53,0.00564814814814815,0.55,"%O2","humid"
"40","Closed","H_155",2016-09-22 13:52:31,2.11094907407407,3.209,"%O2","dry"
"41","Closed","H_155",2016-09-21 15:32:32,1.18040509259259,2.954,"%O2","dry"
"42","Closed","S_155",2016-09-24 18:28:08,4.30234953703704,3.871,"%O2","humid"
"43","Closed","H_155",2016-09-20 13:48:06,0.107881944444444,2.621,"%O2","dry"
"44","Closed","S_155",2016-09-20 11:17:20,0.00318287037037037,18.511,"%O2","humid"
"45","Closed","S_155",2016-09-22 13:50:08,2.10929398148148,3.364,"%O2","humid"
"46","Closed","S_155",2016-09-20 20:54:34,0.404039351851852,2.327,"%O2","humid"
"47","Closed","S_155",2016-09-20 16:05:57,0.203611111111111,1.575,"%O2","humid"
"48","Closed","S_155",2016-09-20 11:19:27,0.00465277777777778,3.266,"%O2","humid"
"49","Closed","H_155",2016-09-20 11:52:22,0.0275115740740741,2.479,"%O2","dry"
"50","Closed","S_155",2016-09-23 10:11:49,2.95768518518519,3.554,"%O2","humid"
"51","Closed","S_155",2016-09-20 11:53:46,0.0284837962962963,0.835,"%O2","humid"
"52","Closed","S_155",2016-09-20 19:02:49,0.326435185185185,2.087,"%O2","humid"
"53","Closed","S_155",2016-09-20 13:45:43,0.106226851851852,1.246,"%O2","humid"
"54","Closed","H_155",2016-09-20 11:18:25,0.00393518518518518,18.7,"%O2","dry"
"55","+ 25mL","H_156",2016-09-20 20:56:38,0.405474537037037,4.432,"%O2","dry"
"56","+ 25mL","H_156",2016-09-20 19:05:15,0.328125,4.402,"%O2","dry"
"57","+ 25mL","S_156",2016-09-21 13:55:35,1.1130787037037,4.553,"%O2","humid"
"58","+ 25mL","S_156",2016-09-20 11:26:53,0.00981481481481481,0.373,"%O2","humid"
"59","+ 25mL","S_156",2016-09-20 11:22:56,0.00707175925925926,18.833,"%O2","humid"
